tipo,referencia,error_absoluto,error_relativo_pct,error_propagado
representacion,Ene-2022,2.050000,0.249377,
representacion,Feb-2022,2.930000,0.363042,
representacion,Mar-2022,0.810000,0.101353,
representacion,Abr-2022,4.880000,0.598685,
representacion,May-2022,0.610000,0.071816,
representacion,Jun-2022,2.230000,0.259976,
representacion,Jul-2022,3.710000,0.389007,
representacion,Ago-2022,4.350000,0.481008,
representacion,Sep-2022,1.010000,0.109662,
representacion,Oct-2022,4.110000,0.429966,
representacion,Nov-2022,2.950000,0.321684,
representacion,Dic-2022,4.340000,0.495626,
representacion,Ene-2023,3.660000,0.442917,
representacion,Feb-2023,1.740000,0.217974,
representacion,Mar-2023,0.500000,0.061767,
representacion,Abr-2023,3.840000,0.477707,
representacion,May-2023,1.360000,0.170289,
representacion,Jun-2023,0.130000,0.016253,
representacion,Jul-2023,3.400000,0.417999,
representacion,Ago-2023,4.340000,0.507211,
representacion,Sep-2023,4.400000,0.497512,
representacion,Oct-2023,3.650000,0.394020,
representacion,Nov-2023,3.390000,0.382355,
representacion,Dic-2023,4.670000,0.533916,
representacion,Ene-2024,2.010000,0.221368,
representacion,Feb-2024,3.440000,0.357054,
representacion,Mar-2024,2.070000,0.213858,
representacion,Abr-2024,0.140000,0.014581,
representacion,May-2024,2.120000,0.230967,
representacion,Jun-2024,3.920000,0.423290,
representacion,Jul-2024,2.440000,0.260250,
representacion,Ago-2024,0.100000,0.010754,
representacion,Sep-2024,3.790000,0.409194,
representacion,Oct-2024,3.810000,0.408006,
representacion,Nov-2024,1.600000,0.164677,
representacion,Dic-2024,2.300000,0.234144,
representacion,Ene-2025,0.760000,0.075942,
representacion,Feb-2025,3.380000,0.353327,
representacion,Mar-2025,2.550000,0.273444,
representacion,Abr-2025,1.960000,0.203751,
representacion,May-2025,1.010000,0.107331,
representacion,Jun-2025,1.960000,0.208946,
representacion,Jul-2025,1.550000,0.162892,
representacion,Ago-2025,3.700000,0.382904,
representacion,Sep-2025,0.370000,0.038527,
representacion,Oct-2025,3.970000,0.416156,
representacion,Nov-2025,4.300000,0.459549,
representacion,Dic-2025,3.840000,0.419141,
cancelacion_A3,dic2022_vs_dic2023,,67.000000,0.670000
anualidad_A4,2025,4.600000,5.750000,4.600000
anualidad_A4,2024,4.310000,6.157143,4.310000
anualidad_A4,2022,6.390000,10.650000,6.390000
anualidad_A4,2023,8.330000,20.825000,8.330000
